Id,Period,Data_value,Series_title_2
280,2016.03,16309.6,Non-retail excl. services
281,2017.03,17701.2,Non-retail excl. services
282,2018.03,20143.4,Non-retail excl. services
283,2019.03,21142,Non-retail excl. services
284,2020.03,21493.8,Non-retail excl. services
285,2021.03,18226.8,Non-retail excl. services
286,2022.03,19577.1,Non-retail excl. services
287,2001.03,,RTS total industries
288,2002.03,,RTS total industries
289,2003.03,,RTS total industries
290,2004.03,588806931,RTS total industries
291,2005.03,646646117,RTS total industries
292,2006.03,706783322,RTS total industries
293,2007.03,765192107,RTS total industries
294,2008.03,830825132,RTS total industries
295,2009.03,876181852,RTS total industries
296,2010.03,933437431,RTS total industries
297,2011.03,985468154,RTS total industries
298,2012.03,1038177483,RTS total industries
299,2013.03,1087705018,RTS total industries
300,2014.03,1152505489,RTS total industries
301,2015.03,1220864253,RTS total industries
302,2016.03,1293866673,RTS total industries
303,2017.03,1384232643,RTS total industries
304,2018.03,1478012662,RTS total industries
305,2019.03,1543767970,RTS total industries
306,2020.03,1572801068,RTS total industries
307,2021.03,1461421381,RTS total industries
308,2022.03,1482618473,RTS total industries
309,2001.03,,RTS core industries
310,2002.03,,RTS core industries
311,2003.03,,RTS core industries
312,2004.03,495113109,RTS core industries
313,2005.03,539502887,RTS core industries
314,2006.03,592614010,RTS core industries
315,2007.03,644900770,RTS core industries
316,2008.03,703820694,RTS core industries
317,2009.03,749949518,RTS core industries
318,2010.03,803291345,RTS core industries
319,2011.03,850793709,RTS core industries
320,2012.03,903010277,RTS core industries
321,2013.03,943634757,RTS core industries
322,2014.03,993978393,RTS core industries
323,2015.03,1059844932,RTS core industries
324,2016.03,1127526943,RTS core industries
325,2017.03,1211616950,RTS core industries
326,2018.03,1301818297,RTS core industries
327,2019.03,1370551798,RTS core industries
328,2020.03,1406254655,RTS core industries
329,2021.03,1310361319,RTS core industries
330,2022.03,1328683606,RTS core industries
331,2001.03,,Total
332,2002.03,,Total
333,2003.03,,Total
334,2004.03,684979211,Total
335,2005.03,754629755,Total
336,2006.03,821740965,Total
337,2007.03,892055984,Total
338,2008.03,974791063,Total
339,2009.03,1027444058,Total
340,2010.03,1091955385,Total
341,2011.03,1151607794,Total
342,2012.03,1215119074,Total
343,2013.03,1272376213,Total
344,2014.03,1349778117,Total
345,2015.03,1427025657,Total
346,2016.03,1513990667,Total
347,2017.03,1627459722,Total
348,2018.03,1754265615,Total
349,2019.03,1835450231,Total
350,2020.03,1874441214,Total
351,2021.03,1732692339,Total
352,2022.03,1765284133,Total
353,2001.03,,Credit
354,2002.03,,Credit
355,2003.03,,Credit
356,2004.03,175164639,Credit
357,2005.03,195790533,Credit
358,2006.03,210968205,Credit
359,2007.03,225913337,Credit
360,2008.03,240051535,Credit
361,2009.03,245016363,Credit
362,2010.03,251415302,Credit
363,2011.03,256962888,Credit
364,2012.03,271075612,Credit
365,2013.03,289001419,Credit
366,2014.03,323503974,Credit
367,2015.03,363251739,Credit
368,2016.03,430282120,Credit
369,2017.03,543191000,Credit
370,2018.03,693853089,Credit
371,2019.03,793562791,Credit
372,2020.03,852565339,Credit
373,2021.03,967199480,Credit
374,2022.03,1055538960,Credit
375,2001.03,,Debit
376,2002.03,,Debit
377,2003.03,,Debit
378,2004.03,509814572,Debit
379,2005.03,558839222,Debit
380,2006.03,610772760,Debit
381,2007.03,666142647,Debit
382,2008.03,734739528,Debit
383,2009.03,782427695,Debit
384,2010.03,840540083,Debit
385,2011.03,894644906,Debit
386,2012.03,944043462,Debit
387,2013.03,983374794,Debit
388,2014.03,1026274143,Debit
389,2015.03,1063773918,Debit
390,2016.03,1083708547,Debit
391,2017.03,1084268722,Debit
392,2018.03,1060412526,Debit
393,2019.03,1041887440,Debit
394,2020.03,1021875875,Debit
395,2021.03,765492859,Debit
396,2022.03,709745173,Debit
397,2000.03,,Mean transaction value
398,2001.03,,Mean transaction value
399,2002.03,,Mean transaction value
400,2003.03,,Mean transaction value
401,2004.03,53.8,Mean transaction value
402,2005.03,54,Mean transaction value
403,2006.03,53.9,Mean transaction value
404,2007.03,54.5,Mean transaction value
405,2008.03,54,Mean transaction value
406,2009.03,53,Mean transaction value
407,2010.03,51.3,Mean transaction value
408,2011.03,50.9,Mean transaction value
409,2012.03,51.5,Mean transaction value
410,2013.03,51.3,Mean transaction value
411,2014.03,51.3,Mean transaction value
412,2015.03,50.7,Mean transaction value
413,2016.03,50.5,Mean transaction value
414,2017.03,50,Mean transaction value
415,2018.03,50,Mean transaction value
416,2019.03,49.8,Mean transaction value
417,2020.03,50.1,Mean transaction value
418,2021.03,51.9,Mean transaction value
419,2022.03,53.7,Mean transaction value
420,2000.03,,Mean value of transaction per person
421,2001.03,,Mean value of transaction per person
422,2002.03,,Mean value of transaction per person
423,2003.03,,Mean value of transaction per person
424,2004.03,8839.8,Mean value of transaction per person
425,2005.03,9636.3,Mean value of transaction per person
426,2006.03,10354.5,Mean value of transaction per person
427,2007.03,11221.4,Mean value of transaction per person
428,2008.03,12040.3,Mean value of transaction per person
429,2009.03,12361.4,Mean value of transaction per person
430,2010.03,12559.1,Mean value of transaction per person
431,2011.03,13026.5,Mean value of transaction per person
432,2012.03,13815.8,Mean value of transaction per person
433,2013.03,14345.2,Mean value of transaction per person
434,2014.03,15025.3,Mean value of transaction per person
435,2015.03,15384.7,Mean value of transaction per person
436,2016.03,15898.2,Mean value of transaction per person
437,2017.03,16509.7,Mean value of transaction per person
438,2018.03,17437.2,Mean value of transaction per person
439,2019.03,17877.7,Mean value of transaction per person
440,2020.03,18124.1,Mean value of transaction per person
441,2021.03,17605,Mean value of transaction per person
442,2022.03,18461.1,Mean value of transaction per person
443,2000.03,,Mean number of transactions per person
444,2001.03,,Mean number of transactions per person
445,2002.03,,Mean number of transactions per person
446,2003.03,,Mean number of transactions per person
447,2004.03,164.2,Mean number of transactions per person
448,2005.03,178.4,Mean number of transactions per person
449,2006.03,192.1,Mean number of transactions per person
450,2007.03,205.9,Mean number of transactions per person
451,2008.03,222.8,Mean number of transactions per person
452,2009.03,233.1,Mean number of transactions per person
453,2010.03,245,Mean number of transactions per person
454,2011.03,255.9,Mean number of transactions per person
455,2012.03,268.1,Mean number of transactions per person
456,2013.03,279.5,Mean number of transactions per person
457,2014.03,292.9,Mean number of transactions per person
458,2015.03,303.6,Mean number of transactions per person
459,2016.03,314.7,Mean number of transactions per person
460,2017.03,330.4,Mean number of transactions per person
461,2018.03,348.9,Mean number of transactions per person
462,2019.03,358.8,Mean number of transactions per person
463,2020.03,361.5,Mean number of transactions per person
464,2021.03,339.3,Mean number of transactions per person
465,2022.03,343.7,Mean number of transactions per person
466,2000.03,,ECT core retail as a proportion of core Retail Trade Survey
467,2001.03,,ECT core retail as a proportion of core Retail Trade Survey
468,2002.03,,ECT core retail as a proportion of core Retail Trade Survey
469,2003.03,,ECT core retail as a proportion of core Retail Trade Survey
470,2004.03,57.4,ECT core retail as a proportion of core Retail Trade Survey
471,2005.03,57.4,ECT core retail as a proportion of core Retail Trade Survey
472,2006.03,57.8,ECT core retail as a proportion of core Retail Trade Survey
473,2007.03,58.3,ECT core retail as a proportion of core Retail Trade Survey
474,2008.03,60.6,ECT core retail as a proportion of core Retail Trade Survey
475,2009.03,62.4,ECT core retail as a proportion of core Retail Trade Survey
476,2010.03,62.7,ECT core retail as a proportion of core Retail Trade Survey
477,2011.03,63.3,ECT core retail as a proportion of core Retail Trade Survey
478,2012.03,63.9,ECT core retail as a proportion of core Retail Trade Survey
479,2013.03,64.9,ECT core retail as a proportion of core Retail Trade Survey
480,2014.03,65.5,ECT core retail as a proportion of core Retail Trade Survey
481,2015.03,65.8,ECT core retail as a proportion of core Retail Trade Survey
482,2016.03,66.7,ECT core retail as a proportion of core Retail Trade Survey
483,2017.03,66.8,ECT core retail as a proportion of core Retail Trade Survey
484,2018.03,67.2,ECT core retail as a proportion of core Retail Trade Survey
485,2019.03,67.2,ECT core retail as a proportion of core Retail Trade Survey
486,2020.03,67.1,ECT core retail as a proportion of core Retail Trade Survey
487,2021.03,66.5,ECT core retail as a proportion of core Retail Trade Survey
488,2022.03,63.2,ECT core retail as a proportion of core Retail Trade Survey
489,2000.03,,ECT retail as a proportion of total Retail Trade Survey
490,2001.03,,ECT retail as a proportion of total Retail Trade Survey
491,2002.03,,ECT retail as a proportion of total Retail Trade Survey
492,2003.03,,ECT retail as a proportion of total Retail Trade Survey
493,2004.03,49.6,ECT retail as a proportion of total Retail Trade Survey
494,2005.03,49.7,ECT retail as a proportion of total Retail Trade Survey
495,2006.03,51,ECT retail as a proportion of total Retail Trade Survey
496,2007.03,52.3,ECT retail as a proportion of total Retail Trade Survey
497,2008.03,53.8,ECT retail as a proportion of total Retail Trade Survey
498,2009.03,56.7,ECT retail as a proportion of total Retail Trade Survey
499,2010.03,57.4,ECT retail as a proportion of total Retail Trade Survey
500,2011.03,57.6,ECT retail as a proportion of total Retail Trade Survey
501,2012.03,58.1,ECT retail as a proportion of total Retail Trade Survey
502,2013.03,58.9,ECT retail as a proportion of total Retail Trade Survey
503,2014.03,60.1,ECT retail as a proportion of total Retail Trade Survey
504,2015.03,60.1,ECT retail as a proportion of total Retail Trade Survey
505,2016.03,60.6,ECT retail as a proportion of total Retail Trade Survey
506,2017.03,60.4,ECT retail as a proportion of total Retail Trade Survey
507,2018.03,60.5,ECT retail as a proportion of total Retail Trade Survey
508,2019.03,60.5,ECT retail as a proportion of total Retail Trade Survey
509,2020.03,60.2,ECT retail as a proportion of total Retail Trade Survey
510,2021.03,59.1,ECT retail as a proportion of total Retail Trade Survey
511,2022.03,55.6,ECT retail as a proportion of total Retail Trade Survey
512,2000.03,,Credit card usage as a proportion of total ECT value
513,2001.03,,Credit card usage as a proportion of total ECT value
514,2002.03,,Credit card usage as a proportion of total ECT value
515,2003.03,,Credit card usage as a proportion of total ECT value
516,2004.03,44.2,Credit card usage as a proportion of total ECT value
517,2005.03,45.3,Credit card usage as a proportion of total ECT value
518,2006.03,45.6,Credit card usage as a proportion of total ECT value
519,2007.03,45.8,Credit card usage as a proportion of total ECT value
520,2008.03,45.5,Credit card usage as a proportion of total ECT value
521,2009.03,44.8,Credit card usage as a proportion of total ECT value
522,2010.03,43.1,Credit card usage as a proportion of total ECT value
523,2011.03,42.4,Credit card usage as a proportion of total ECT value
524,2012.03,42.2,Credit card usage as a proportion of total ECT value
525,2013.03,42.1,Credit card usage as a proportion of total ECT value
526,2014.03,43.1,Credit card usage as a proportion of total ECT value
527,2015.03,43.7,Credit card usage as a proportion of total ECT value
528,2016.03,45.3,Credit card usage as a proportion of total ECT value
529,2017.03,48.2,Credit card usage as a proportion of total ECT value
530,2018.03,52.5,Credit card usage as a proportion of total ECT value
531,2019.03,55,Credit card usage as a proportion of total ECT value
532,2020.03,56.1,Credit card usage as a proportion of total ECT value
533,2021.03,61.7,Credit card usage as a proportion of total ECT value
534,2022.03,65.1,Credit card usage as a proportion of total ECT value
535,2000.03,,Debit card usage as a proportion of total ECT value
536,2001.03,,Debit card usage as a proportion of total ECT value
537,2002.03,,Debit card usage as a proportion of total ECT value
538,2003.03,,Debit card usage as a proportion of total ECT value
